75,39,21,1,43,16,3,32,8,4,6,0,63,12,0,75,9,105,21,105,28,6,15,1,0,0,75,0,0,0,0,1,301,75,0,0,20,0,22052,7,82,0,63,57,0,0.623705,1.000000,0.099247,0.409651,0.000001,0.163442,0.001080,0.128636,0.000000,0.105718,0.000000,0.189926,0.000002,0.000000,0.000000,0.000002,0.000000,0.000001,0.000000
75,39,21,1,43,16,3,32,8,4,6,0,63,12,0,75,9,105,21,105,28,6,15,1,0,0,75,0,0,0,0,1,301,75,0,0,20,0,22052,7,82,0,63,57,0,0.623705,1.000000,0.099247,0.409651,0.000001,0.163442,0.001080,0.128636,0.000000,0.105718,0.000000,0.189926,0.000002,0.000000,0.000000,0.000002,0.000000,0.000001,0.000000	
52,28,16,0,30,15,0,23,5,4,7,0,48,4,0,51,7,22,16,51,12,0,77,2,0,0,52,0,0,0,0,0,133,38,0,0,9,0,0,2,12,0,29,27,0,0.648816,1.000000,0.129772,0.313101,0.002688,0.118809,0.000196,0.197886,0.002985,0.115454,0.000016,0.263924,0.000037,0.000076,0.000006,0.003796,0.000007,0.002848,0.000002	
88,51,25,0,61,17,2,46,7,4,12,0,76,12,0,87,3,50,25,102,34,32,13,1,0,2,67,21,0,0,1,0,358,53,0,0,28,0,0,6,22,0,74,71,6,1.406422,1.000000,0.232899,0.297937,0.000524,0.198022,0.019840,0.192047,0.000358,0.105957,0.000251,0.441219,0.002384,0.000048,0.000044,0.003042,0.000033,0.000833,0.000025	
19,9,7,0,13,3,1,9,2,0,2,0,15,4,0,19,3,13,7,16,2,2,119,7,1,4,10,9,0,0,2,0,67,18,0,0,2,0,0,1,6,0,16,16,0,1.049208,1.000000,0.202514,0.354059,0.001506,0.212464,0.006478,0.218978,0.001029,0.135400,0.000557,0.360315,0.003580,0.001136,0.018049,0.006044,0.000199,0.001834,0.000107	
57,38,15,0,39,13,1,34,2,1,12,0,50,7,0,57,3,16,15,59,24,7,60,2,0,0,57,0,0,0,0,0,178,24,0,0,16,0,21935,3,7,0,53,51,0,0.754144,1.000000,0.149485,0.494360,0.003943,0.061941,0.000383,0.377728,0.003933,0.116631,0.000013,0.268588,0.000000,0.000057,0.000000,0.007838,0.003597,0.003958,0.000007	
61,41,16,0,42,14,1,37,2,1,13,0,53,8,0,61,3,16,16,55,24,4,83,2,0,0,61,0,0,0,0,0,177,26,0,0,14,0,21982,3,7,0,48,47,0,0.821914,1.000000,0.163641,0.493682,0.021513,0.069002,0.000288,0.400164,0.023477,0.093673,0.000044,0.291806,0.000001,0.008224,0.000000,0.029371,0.000026,0.022983,0.000018	
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,14,13,47,19,6,58,2,0,0,49,0,0,0,0,0,146,20,0,0,13,0,22050,2,7,0,43,41,0,1.441259,1.000000,0.584561,0.640446,0.058380,0.138092,0.001155,0.761257,0.057960,0.254765,0.000163,0.594110,0.000002,0.062330,0.000001,0.156963,0.007013,0.058719,0.000022	
81,55,22,0,56,20,1,49,4,3,17,0,73,8,0,81,5,26,22,71,35,17,158,2,0,0,81,0,0,0,0,0,288,56,0,0,29,0,21896,4,15,0,65,60,0,0.895708,1.000000,0.179141,0.489874,0.011018,0.063967,0.000027,0.362082,0.010956,0.127763,0.000090,0.112180,0.000000,0.000150,0.000000,0.022327,0.009321,0.011027,0.000008	

