0.623705,1.000000,0.099247,0.409651,0.000001,0.163442,0.001080,0.128636,0.000000,0.105718,0.000000,0.189926,0.000002,0.000000,0.000000,0.000002,0.000000,0.000001,0.000000
0.623705,1.000000,0.099247,0.409651,0.000001,0.163442,0.001080,0.128636,0.000000,0.105718,0.000000,0.189926,0.000002,0.000000,0.000000,0.000002,0.000000,0.000001,0.000000	
0.648816,1.000000,0.129772,0.313101,0.002688,0.118809,0.000196,0.197886,0.002985,0.115454,0.000016,0.263924,0.000037,0.000076,0.000006,0.003796,0.000007,0.002848,0.000002	
1.406422,1.000000,0.232899,0.297937,0.000524,0.198022,0.019840,0.192047,0.000358,0.105957,0.000251,0.441219,0.002384,0.000048,0.000044,0.003042,0.000033,0.000833,0.000025	
1.049208,1.000000,0.202514,0.354059,0.001506,0.212464,0.006478,0.218978,0.001029,0.135400,0.000557,0.360315,0.003580,0.001136,0.018049,0.006044,0.000199,0.001834,0.000107	
0.754144,1.000000,0.149485,0.494360,0.003943,0.061941,0.000383,0.377728,0.003933,0.116631,0.000013,0.268588,0.000000,0.000057,0.000000,0.007838,0.003597,0.003958,0.000007	
0.821914,1.000000,0.163641,0.493682,0.021513,0.069002,0.000288,0.400164,0.023477,0.093673,0.000044,0.291806,0.000001,0.008224,0.000000,0.029371,0.000026,0.022983,0.000018	
1.441259,1.000000,0.584561,0.640446,0.058380,0.138092,0.001155,0.761257,0.057960,0.254765,0.000163,0.594110,0.000002,0.062330,0.000001,0.156963,0.007013,0.058719,0.000022	
0.895708,1.000000,0.179141,0.489874,0.011018,0.063967,0.000027,0.362082,0.010956,0.127763,0.000090,0.112180,0.000000,0.000150,0.000000,0.022327,0.009321,0.011027,0.000008	

